EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,YearsAtCompany,MonthlyIncome,Attrition,OverTime,PerformanceRating,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHomeKM
EMP-1039,45,Male,Divorced,Marketing,Content Strategist,Marketing,1,7001,No,No,3,4,1,4,1,0,28
EMP-1040,55,Non-Binary,Married,Sales,Sales Manager,Human Resources,18,19759,No,No,3,4,4,3,3,2,29
EMP-1041,58,Female,Married,Sales,Sales Representative,Marketing,1,7616,Yes,Yes,3,3,2,4,1,0,34
EMP-1042,37,Female,Married,Sales,Sales Executive,Human Resources,8,9620,No,Yes,3,4,4,1,4,2,24
EMP-1043,55,Male,Divorced,Software Engineering,Engineering Lead,Human Resources,11,15001,No,Yes,2,4,3,3,4,2,8
EMP-1044,33,Male,Divorced,Finance,Finance Manager,Technical Degree,9,17135,No,Yes,3,3,1,2,5,0,35
EMP-1045,24,Non-Binary,Divorced,Sales,Sales Representative,Marketing,3,7749,No,No,3,1,3,4,1,1,31
EMP-1046,47,Female,Divorced,R&D,Research Scientist,Other,2,4818,Yes,Yes,3,3,1,2,1,1,29
EMP-1047,49,Male,Divorced,Software Engineering,DevOps Engineer,Life Sciences,20,11852,Yes,No,3,2,2,3,3,1,1
EMP-1048,52,Male,Single,Software Engineering,DevOps Engineer,Marketing,10,8599,No,No,3,2,3,2,3,2,10
EMP-1049,32,Female,Divorced,R&D,Research Scientist,Other,11,8446,No,No,4,1,4,3,9,8,32
EMP-1050,24,Female,Divorced,Software Engineering,Software Engineer,Marketing,3,5719,Yes,No,3,1,2,1,1,0,31
EMP-1051,50,Female,Single,Marketing,Marketing Manager,Human Resources,14,18712,No,No,3,4,1,4,11,1,11
EMP-1052,53,Male,Married,Human Resources,Recruitment Specialist,Human Resources,2,7269,No,Yes,3,3,3,3,1,1,27
EMP-1053,55,Male,Married,R&D,Research Scientist,Other,15,6652,No,No,3,3,2,3,2,0,16
EMP-1054,41,Female,Divorced,Finance,Financial Analyst,Technical Degree,3,6135,No,No,3,1,4,1,3,2,33
EMP-1055,48,Female,Married,Finance,Accountant,Medical,15,10520,No,No,3,4,2,2,13,13,27
EMP-1056,39,Female,Married,Human Resources,HR Manager,Other,10,16288,No,No,3,4,2,4,9,8,25
EMP-1057,34,Non-Binary,Single,Software Engineering,DevOps Engineer,Human Resources,13,9910,No,No,3,4,1,3,13,6,25
EMP-1058,31,Female,Single,Finance,Finance Manager,Medical,10,15674,No,No,3,1,4,1,3,3,10
EMP-1059,38,Male,Divorced,R&D,Laboratory Technician,Technical Degree,3,6995,No,No,2,4,3,4,1,0,19
EMP-1060,27,Male,Single,Sales,Sales Manager,Other,4,12902,No,No,2,3,1,1,3,2,28
EMP-1061,55,Male,Divorced,Sales,Sales Executive,Medical,6,5654,No,No,2,4,2,4,4,2,30
EMP-1062,22,Female,Married,Human Resources,HR Manager,Marketing,1,9962,No,No,3,4,3,3,1,1,20
EMP-1063,52,Male,Married,Sales,Sales Representative,Human Resources,12,10608,No,Yes,3,3,1,4,11,11,4
EMP-1064,53,Female,Married,Marketing,Marketing Manager,Medical,20,15506,No,No,4,2,3,2,2,1,29
EMP-1065,45,Female,Single,R&D,R&D Manager,Marketing,11,17439,Yes,No,4,2,2,2,9,4,11
EMP-1066,40,Female,Married,Human Resources,Recruitment Specialist,Life Sciences,15,6606,Yes,Yes,3,2,4,3,2,1,24
EMP-1067,38,Female,Divorced,Finance,Finance Manager,Marketing,4,14864,No,No,3,4,1,3,1,1,20
EMP-1068,29,Male,Single,Finance,Accountant,Marketing,8,5543,Yes,No,3,2,2,4,7,2,27
EMP-1069,53,Female,Married,Finance,Financial Analyst,Life Sciences,12,8135,No,Yes,3,4,2,3,9,5,4
EMP-1070,34,Non-Binary,Married,Software Engineering,DevOps Engineer,Life Sciences,7,4508,No,No,3,3,2,2,7,3,14
EMP-1071,31,Female,Divorced,Sales,Sales Representative,Life Sciences,9,6032,No,No,2,3,2,1,1,1,16
EMP-1072,23,Male,Single,Marketing,Content Strategist,Medical,2,7867,No,No,3,1,4,4,1,1,33
EMP-1073,24,Female,Divorced,Sales,Sales Manager,Human Resources,3,13194,Yes,No,3,1,1,4,3,3,5
EMP-1074,31,Male,Married,R&D,Laboratory Technician,Human Resources,10,11012,No,No,3,3,4,3,2,2,8
EMP-1075,57,Female,Single,Finance,Finance Manager,Technical Degree,15,14196,No,No,2,3,4,4,7,5,17
EMP-1076,52,Male,Single,Human Resources,HR Executive,Life Sciences,14,8751,No,No,3,3,2,1,6,5,8
EMP-1077,49,Female,Divorced,Software Engineering,DevOps Engineer,Life Sciences,10,8159,Yes,No,3,1,2,2,9,5,8
EMP-1078,36,Female,Divorced,Human Resources,HR Manager,Human Resources,15,18739,Yes,Yes,3,1,3,1,6,2,1
EMP-1079,58,Female,Single,Sales,Sales Executive,Medical,1,4292,Yes,No,3,2,4,4,1,0,4
EMP-1080,25,Female,Married,Sales,Sales Executive,Technical Degree,4,8398,No,Yes,3,4,4,3,3,3,8
EMP-1081,53,Female,Married,Human Resources,HR Manager,Life Sciences,8,14161,Yes,No,3,1,1,2,5,2,21
EMP-1082,53,Female,Single,R&D,Research Scientist,Medical,13,11852,No,No,3,2,3,1,7,0,30
EMP-1083,58,Male,Married,R&D,Laboratory Technician,Other,14,8077,No,Yes,4,4,1,3,8,5,6
EMP-1084,37,Male,Married,Software Engineering,Software Engineer,Human Resources,3,7558,No,No,3,3,3,2,3,0,34
EMP-1085,44,Male,Divorced,Marketing,Marketing Specialist,Medical,8,5538,No,No,3,3,2,2,2,0,32
EMP-1086,50,Female,Divorced,Software Engineering,Engineering Lead,Other,20,18567,No,Yes,3,3,2,4,10,4,4
EMP-1087,26,Male,Married,Human Resources,HR Manager,Life Sciences,2,12244,No,No,3,3,1,1,2,2,3
EMP-1088,34,Male,Married,Software Engineering,Engineering Lead,Human Resources,5,10331,No,No,3,1,3,1,2,2,29
EMP-1089,55,Female,Married,Software Engineering,Engineering Lead,Marketing,10,14213,No,Yes,2,3,1,3,7,4,17
EMP-1090,31,Male,Divorced,Finance,Finance Manager,Other,5,12510,No,No,3,4,2,1,3,1,34
EMP-1091,49,Female,Single,R&D,R&D Manager,Marketing,10,13906,Yes,Yes,4,2,3,4,5,0,33
EMP-1092,55,Male,Married,Marketing,Marketing Manager,Human Resources,5,14622,No,No,3,2,2,2,2,2,29
EMP-1093,45,Female,Single,R&D,Laboratory Technician,Technical Degree,20,12374,No,No,4,4,2,2,16,6,24
EMP-1094,50,Male,Married,Finance,Finance Manager,Technical Degree,17,17189,Yes,No,2,2,2,2,12,8,7
EMP-1095,29,Male,Single,Finance,Finance Manager,Marketing,8,14201,No,No,4,4,1,2,1,1,4
EMP-1096,45,Male,Single,Software Engineering,Engineering Lead,Marketing,8,10578,No,Yes,3,1,3,2,3,3,29
EMP-1097,27,Male,Single,Marketing,Marketing Specialist,Medical,6,9071,No,No,2,1,3,2,4,4,30
EMP-1098,53,Female,Single,R&D,Research Scientist,Other,17,11497,Yes,Yes,3,2,3,4,6,5,6
EMP-1099,26,Female,Divorced,Marketing,Content Strategist,Human Resources,5,8514,No,No,4,4,4,1,3,0,23
EMP-1100,37,Female,Divorced,R&D,Laboratory Technician,Life Sciences,16,8867,No,No,3,1,3,3,15,15,12
EMP-1101,51,Male,Single,Sales,Sales Executive,Life Sciences,7,5153,No,Yes,3,3,4,4,2,1,23
EMP-1102,43,Male,Married,R&D,R&D Manager,Technical Degree,13,17995,No,No,3,4,3,2,13,8,18
EMP-1103,49,Male,Divorced,R&D,R&D Manager,Medical,18,15082,Yes,No,3,1,1,3,14,2,29
EMP-1104,24,Female,Married,Human Resources,Recruitment Specialist,Human Resources,3,6388,Yes,No,4,1,1,4,1,0,29
EMP-1105,26,Male,Divorced,R&D,Research Scientist,Marketing,5,8301,No,No,3,1,2,4,5,1,34
EMP-1106,42,Female,Single,Human Resources,Recruitment Specialist,Life Sciences,1,5001,No,No,3,4,1,3,1,1,32
EMP-1107,30,Female,Married,Sales,Sales Executive,Medical,9,7132,No,No,3,3,3,1,5,1,12
EMP-1108,36,Male,Single,Human Resources,HR Manager,Medical,8,17182,No,No,4,1,3,3,3,0,5
EMP-1109,52,Female,Married,Human Resources,Recruitment Specialist,Human Resources,3,5420,No,No,3,3,1,4,1,0,9
EMP-1110,25,Female,Divorced,Software Engineering,Engineering Lead,Medical,4,10612,No,No,3,3,2,3,3,0,17
EMP-1111,57,Male,Divorced,Sales,Sales Manager,Marketing,20,16330,Yes,No,3,2,2,2,19,1,2
EMP-1112,58,Male,Single,R&D,Research Scientist,Human Resources,14,7326,No,Yes,4,3,3,4,7,4,30
EMP-1113,25,Male,Married,R&D,R&D Manager,Technical Degree,4,11119,No,No,4,2,3,3,4,1,24
EMP-1114,28,Male,Married,Marketing,Marketing Manager,Life Sciences,7,13674,Yes,Yes,3,2,1,1,2,0,21
EMP-1115,42,Male,Single,Marketing,Marketing Manager,Technical Degree,17,17033,No,Yes,3,3,4,1,15,7,14
EMP-1116,25,Male,Married,Marketing,Content Strategist,Human Resources,4,6688,Yes,Yes,3,1,1,4,4,2,3
EMP-1117,58,Female,Married,Software Engineering,Software Engineer,Human Resources,10,6282,No,Yes,2,4,3,1,6,6,22
EMP-1118,31,Male,Divorced,Marketing,Content Strategist,Technical Degree,10,5139,Yes,No,3,1,2,3,9,2,21
EMP-1119,32,Male,Divorced,Marketing,Content Strategist,Other,10,8745,No,No,3,4,3,4,2,1,20
EMP-1120,23,Female,Married,Finance,Finance Manager,Other,2,13647,No,No,3,1,4,2,2,0,16
EMP-1121,29,Male,Married,R&D,R&D Manager,Marketing,8,11780,No,No,3,2,4,4,1,0,34
EMP-1122,42,Non-Binary,Married,Sales,Sales Manager,Human Resources,13,16192,No,No,3,2,4,3,12,10,17
EMP-1123,34,Female,Married,Marketing,Content Strategist,Human Resources,10,8952,No,No,3,3,3,2,8,5,18
EMP-1124,58,Female,Married,Human Resources,HR Executive,Technical Degree,12,7087,No,No,3,1,3,1,5,5,31
EMP-1125,56,Male,Divorced,Sales,Sales Executive,Other,9,5917,Yes,No,3,2,2,1,1,0,27
EMP-1126,52,Male,Single,Human Resources,HR Manager,Life Sciences,18,14365,No,No,3,4,4,2,10,10,4
EMP-1127,58,Male,Divorced,R&D,R&D Manager,Other,2,10446,Yes,No,3,2,1,4,2,0,1
EMP-1128,28,Female,Married,Human Resources,HR Manager,Marketing,7,15776,No,Yes,4,4,2,4,3,1,30
EMP-1129,33,Male,Married,Finance,Accountant,Marketing,12,7110,No,Yes,3,4,4,3,3,1,31
EMP-1130,22,Male,Single,Human Resources,HR Executive,Technical Degree,1,6127,No,No,2,1,3,3,1,1,20
EMP-1131,54,Female,Divorced,Sales,Sales Representative,Marketing,4,6592,No,No,3,2,2,2,3,3,31
EMP-1132,35,Female,Divorced,Marketing,Marketing Manager,Human Resources,3,13596,No,Yes,3,3,1,1,3,1,35
EMP-1133,42,Female,Married,Sales,Sales Executive,Life Sciences,7,9902,No,No,3,1,4,1,4,4,4
EMP-1134,41,Female,Married,Marketing,Content Strategist,Marketing,1,5283,No,No,2,1,1,4,1,1,3
EMP-1135,33,Female,Divorced,Human Resources,Recruitment Specialist,Other,12,10803,No,No,3,4,4,4,11,8,9
EMP-1136,29,Male,Divorced,Finance,Accountant,Technical Degree,8,6931,Yes,No,3,2,1,1,7,6,15
EMP-1137,44,Male,Single,Sales,Sales Representative,Other,4,4891,No,Yes,2,4,1,2,1,1,4
EMP-1138,24,Male,Single,Sales,Sales Manager,Human Resources,3,15792,Yes,Yes,4,1,2,3,3,2,16
EMP-1139,55,Male,Married,Human Resources,HR Executive,Marketing,2,8544,Yes,Yes,3,2,4,4,2,2,21
EMP-1140,48,Male,Married,Finance,Accountant,Medical,18,10877,No,No,4,2,3,2,18,13,27
EMP-1141,30,Male,Married,Marketing,Marketing Manager,Medical,9,15327,No,No,4,4,3,1,1,1,25
EMP-1142,24,Female,Single,Finance,Finance Manager,Human Resources,3,11093,No,No,2,2,3,3,1,0,31
EMP-1143,35,Male,Single,Sales,Sales Manager,Human Resources,11,17295,No,No,3,4,4,3,8,7,7
EMP-1144,42,Female,Married,Finance,Accountant,Marketing,14,7690,Yes,Yes,4,2,2,1,7,4,10
EMP-1145,36,Male,Single,Sales,Sales Representative,Technical Degree,15,9190,No,Yes,3,4,4,4,3,1,35
EMP-1146,56,Non-Binary,Single,Software Engineering,Software Engineer,Human Resources,2,4590,Yes,Yes,3,1,1,4,1,0,14
EMP-1147,45,Male,Divorced,Marketing,Content Strategist,Other,20,13518,No,No,3,4,1,1,1,1,35
EMP-1148,54,Female,Divorced,Human Resources,HR Executive,Technical Degree,6,6386,No,Yes,3,1,2,2,3,3,6
EMP-1149,51,Female,Divorced,Human Resources,Recruitment Specialist,Medical,10,7030,Yes,No,3,1,1,4,1,0,6
EMP-1150,43,Female,Single,Software Engineering,DevOps Engineer,Human Resources,2,5490,No,No,3,4,3,1,2,2,3
EMP-1151,23,Non-Binary,Divorced,Sales,Sales Representative,Medical,2,4282,Yes,No,3,2,2,4,1,0,33
EMP-1152,25,Male,Single,Finance,Accountant,Life Sciences,4,8041,No,No,3,3,1,3,2,1,25
EMP-1153,46,Male,Divorced,Software Engineering,Software Engineer,Marketing,8,5170,No,No,3,3,2,4,7,5,24
EMP-1154,22,Female,Married,R&D,Research Scientist,Marketing,1,4220,Yes,No,3,1,2,4,1,0,23
EMP-1155,42,Female,Single,Marketing,Marketing Specialist,Marketing,14,11262,Yes,No,3,1,2,2,5,3,10
EMP-1156,49,Male,Married,R&D,Research Scientist,Technical Degree,3,6800,No,No,2,2,4,2,1,1,22
EMP-1157,43,Male,Married,Marketing,Content Strategist,Other,20,8835,No,No,4,3,2,4,11,4,32
EMP-1158,42,Male,Married,Marketing,Marketing Specialist,Marketing,4,8623,No,No,3,2,1,4,1,1,32
EMP-1159,41,Male,Divorced,Sales,Sales Manager,Medical,14,18408,No,No,3,1,4,4,14,11,27
EMP-1160,45,Female,Divorced,Marketing,Marketing Specialist,Human Resources,3,5133,No,No,2,2,3,2,3,3,22
EMP-1161,22,Male,Single,Software Engineering,Software Engineer,Human Resources,1,8069,No,No,3,2,4,3,1,1,2
EMP-1162,40,Male,Single,Software Engineering,Software Engineer,Life Sciences,5,7198,No,No,3,3,4,2,1,1,29
EMP-1163,41,Male,Divorced,Human Resources,HR Executive,Life Sciences,1,6325,Yes,No,3,1,2,2,1,1,15
EMP-1164,33,Male,Divorced,Software Engineering,Engineering Lead,Technical Degree,12,12795,No,No,3,2,4,4,4,2,5
EMP-1165,56,Male,Married,Marketing,Marketing Specialist,Medical,15,7388,No,No,3,4,3,4,6,2,30
EMP-1166,41,Female,Divorced,Marketing,Marketing Specialist,Life Sciences,5,6665,Yes,Yes,3,2,3,1,4,4,9
EMP-1167,49,Male,Divorced,Marketing,Content Strategist,Human Resources,6,8897,No,Yes,4,4,3,2,5,0,23
EMP-1168,30,Male,Married,R&D,Laboratory Technician,Human Resources,9,9540,No,No,2,4,4,4,1,0,19
EMP-1169,36,Female,Single,R&D,Laboratory Technician,Technical Degree,15,11607,Yes,No,4,1,1,3,14,12,3
EMP-1170,56,Male,Married,Finance,Accountant,Life Sciences,8,8622,No,No,4,1,4,3,8,1,16
EMP-1171,44,Female,Divorced,Sales,Sales Manager,Other,14,14157,Yes,No,3,2,2,2,10,8,11
EMP-1172,40,Male,Married,Human Resources,HR Manager,Human Resources,4,11194,No,No,2,4,1,3,2,0,10
EMP-1173,37,Female,Divorced,Finance,Accountant,Technical Degree,16,9116,No,No,3,3,4,4,3,3,33
EMP-1174,45,Male,Married,Finance,Accountant,Marketing,19,10288,No,No,3,1,4,3,13,3,28
EMP-1175,39,Male,Married,Sales,Sales Representative,Marketing,18,11228,No,Yes,3,4,3,1,15,0,8
EMP-1176,51,Male,Married,Sales,Sales Representative,Medical,5,6622,No,Yes,3,3,1,3,2,0,26
EMP-1177,36,Male,Single,Finance,Accountant,Other,4,4024,No,No,3,4,1,2,4,0,1
EMP-1178,29,Non-Binary,Married,Finance,Accountant,Other,5,7953,No,No,2,2,4,1,3,2,20
EMP-1179,30,Female,Divorced,Sales,Sales Representative,Medical,3,8427,Yes,No,3,1,2,4,2,2,29
EMP-1180,28,Male,Single,Sales,Sales Executive,Human Resources,7,8851,No,Yes,3,4,3,2,2,2,19
EMP-1181,41,Male,Divorced,Finance,Financial Analyst,Human Resources,7,7984,Yes,No,3,1,2,4,1,0,24
EMP-1182,46,Female,Divorced,Human Resources,HR Executive,Technical Degree,12,11563,Yes,Yes,2,2,4,1,1,0,26
EMP-1183,54,Female,Married,Marketing,Content Strategist,Other,13,7944,No,No,3,2,3,1,4,1,35
EMP-1184,26,Male,Married,Human Resources,Recruitment Specialist,Other,5,4734,No,No,3,1,4,1,3,1,8
EMP-1185,30,Female,Single,R&D,R&D Manager,Technical Degree,9,15322,No,Yes,3,3,2,3,5,5,8
EMP-1186,49,Male,Single,R&D,Laboratory Technician,Marketing,19,9094,No,No,3,4,3,1,12,2,17
EMP-1187,29,Male,Divorced,R&D,R&D Manager,Life Sciences,2,9024,No,No,3,1,4,3,1,1,15
EMP-1188,48,Female,Married,Human Resources,HR Executive,Marketing,3,8617,Yes,Yes,3,1,1,2,2,0,30
EMP-1189,42,Male,Married,Human Resources,Recruitment Specialist,Life Sciences,12,7531,No,No,4,3,2,4,4,4,16
EMP-1190,48,Male,Divorced,Sales,Sales Executive,Marketing,1,6094,No,Yes,4,4,3,1,1,1,4
EMP-1191,39,Male,Single,Sales,Sales Manager,Human Resources,14,19547,No,No,3,3,4,1,11,6,5
EMP-1192,25,Male,Single,Marketing,Marketing Manager,Medical,4,12106,No,No,3,3,4,3,1,0,9
EMP-1193,31,Male,Married,Marketing,Marketing Specialist,Technical Degree,10,8330,No,No,3,3,2,4,2,0,11
EMP-1194,24,Male,Married,Finance,Accountant,Medical,3,6424,No,No,3,3,4,1,1,0,26
EMP-1195,57,Male,Married,Software Engineering,Engineering Lead,Life Sciences,5,10259,Yes,Yes,3,1,2,2,1,1,5
EMP-1196,34,Female,Married,R&D,Research Scientist,Medical,3,6459,No,Yes,3,1,4,1,2,1,2
EMP-1197,49,Male,Single,Software Engineering,Engineering Lead,Medical,9,13168,No,No,3,2,1,2,8,0,6
EMP-1198,30,Male,Divorced,Human Resources,Recruitment Specialist,Human Resources,8,10477,No,No,3,1,4,3,6,4,33
EMP-1199,39,Male,Married,Human Resources,Recruitment Specialist,Human Resources,8,6472,No,No,3,3,1,4,4,1,7
EMP-1200,37,Male,Divorced,Sales,Sales Manager,Life Sciences,8,16144,No,Yes,3,4,3,2,6,4,2
EMP-1201,44,Female,Divorced,Finance,Finance Manager,Medical,19,16958,No,No,2,4,3,2,8,3,2
EMP-1202,22,Male,Divorced,Marketing,Content Strategist,Medical,1,6324,No,Yes,3,2,3,1,1,1,5
EMP-1203,47,Female,Married,Human Resources,HR Manager,Marketing,11,14006,No,No,3,2,4,4,9,9,23
EMP-1204,33,Male,Divorced,Sales,Sales Manager,Other,10,11493,No,Yes,3,1,4,1,10,3,7
EMP-1205,43,Female,Single,Software Engineering,Software Engineer,Marketing,11,8007,Yes,Yes,3,1,3,4,6,2,7
EMP-1206,25,Male,Divorced,Finance,Financial Analyst,Technical Degree,4,7695,No,Yes,3,4,3,4,2,0,29
EMP-1207,40,Male,Married,R&D,Research Scientist,Life Sciences,3,6579,No,No,4,4,2,1,1,1,31
EMP-1208,49,Female,Single,Finance,Financial Analyst,Human Resources,14,6768,No,No,3,1,3,2,9,8,17
EMP-1209,41,Male,Single,Finance,Accountant,Technical Degree,19,14637,No,No,3,4,2,1,10,10,31
EMP-1210,23,Male,Divorced,Sales,Sales Executive,Marketing,2,7811,No,No,4,1,3,4,2,0,35
EMP-1211,45,Female,Married,Software Engineering,Software Engineer,Medical,15,6820,No,Yes,3,4,4,3,1,0,7
EMP-1212,44,Female,Married,R&D,R&D Manager,Human Resources,8,14355,No,No,3,4,4,4,5,0,26
EMP-1213,54,Female,Divorced,Finance,Financial Analyst,Human Resources,20,8007,No,No,4,4,2,2,5,0,28
EMP-1214,49,Male,Divorced,R&D,R&D Manager,Medical,20,15232,No,No,3,1,1,4,17,14,1
EMP-1215,55,Female,Single,Finance,Finance Manager,Technical Degree,5,11189,No,No,4,1,1,1,4,2,25
EMP-1216,58,Female,Single,Finance,Accountant,Medical,9,8175,No,No,3,4,1,4,4,0,31
EMP-1217,23,Male,Married,Human Resources,Recruitment Specialist,Marketing,2,7965,No,No,3,1,2,2,2,1,27
EMP-1218,27,Male,Single,Marketing,Marketing Manager,Technical Degree,6,16413,No,Yes,3,3,1,2,4,1,34
EMP-1219,33,Male,Single,Marketing,Marketing Specialist,Life Sciences,8,5598,Yes,Yes,4,1,3,2,2,2,2
EMP-1220,53,Female,Single,Sales,Sales Representative,Technical Degree,19,12257,No,No,3,3,2,3,10,0,25
EMP-1221,58,Female,Single,R&D,Research Scientist,Medical,8,6637,No,No,2,4,1,1,3,0,15
EMP-1222,41,Female,Divorced,Human Resources,HR Manager,Other,9,15382,No,Yes,3,4,3,4,9,9,26
EMP-1223,22,Female,Divorced,Marketing,Marketing Specialist,Marketing,1,5741,No,No,3,1,4,1,1,1,17
EMP-1224,41,Male,Divorced,Finance,Finance Manager,Medical,2,13921,No,No,4,3,2,1,2,1,26
EMP-1225,24,Female,Divorced,Software Engineering,Engineering Lead,Medical,3,15447,No,No,4,2,4,3,3,1,19
EMP-1226,30,Female,Divorced,R&D,Laboratory Technician,Human Resources,6,7851,Yes,Yes,4,1,2,3,3,2,17
EMP-1227,51,Female,Married,Marketing,Content Strategist,Life Sciences,19,15382,No,No,4,1,4,2,13,8,20
EMP-1228,31,Male,Single,Software Engineering,Software Engineer,Marketing,10,11644,No,No,3,4,2,3,2,1,22
EMP-1229,42,Female,Single,Finance,Financial Analyst,Technical Degree,9,8011,Yes,No,3,2,2,4,7,6,26
EMP-1230,46,Male,Divorced,Software Engineering,DevOps Engineer,Medical,12,7851,No,No,3,3,2,1,4,1,23
EMP-1231,28,Male,Divorced,Human Resources,HR Executive,Marketing,6,5894,No,No,3,1,3,3,5,2,28
EMP-1232,43,Non-Binary,Married,Finance,Financial Analyst,Marketing,7,7294,No,Yes,4,4,1,2,2,2,2
EMP-1233,32,Male,Divorced,Marketing,Marketing Manager,Other,2,12321,No,No,3,3,1,1,1,0,8
EMP-1234,46,Male,Married,Software Engineering,DevOps Engineer,Technical Degree,5,6518,No,No,3,1,3,4,3,1,27
EMP-1235,29,Male,Single,R&D,R&D Manager,Technical Degree,7,14895,No,No,3,3,2,3,1,1,14
EMP-1236,43,Male,Single,Finance,Accountant,Other,3,5193,No,No,2,4,2,1,3,0,17
EMP-1237,51,Non-Binary,Married,Finance,Financial Analyst,Marketing,15,6235,Yes,No,3,2,1,3,2,0,3
EMP-1238,32,Male,Married,R&D,Research Scientist,Human Resources,9,6166,No,No,4,3,2,1,5,3,31
